Name,Address,City,State,Undergraduate Enrollment,Road Distance (mi),Travel Time One Way (hr)
University of Massachusetts-Amherst,374 Whitmore Building 181 Presidents Drive,Amherst,MA,24928,0,0
Amherst College,Boltwood Avenue,Amherst,MA,1923,1.864113,0.1
Hampshire College,893 West St,Amherst,MA,1550,6.835081,0.216666667
Smith College,Elm St,Northampton,MA,2746,8.5127827,0.283333333
Mount Holyoke College,50 College Street,South Hadley,MA,2501,11.2468151,0.35
Conway School of Landscape Design,332 South Deerfield Rd,Conway,MA,0,14.3536701,0.383333333
Hallmark Institute of Photography,241 Millers Falls Rd,Turners Falls,MA,103,16.4663315,0.4
Holyoke Community College,303 Homestead Ave,Holyoke,MA,9359,19.3246381,0.483333333
Greenfield Community College,One College Dr,Greenfield,MA,3154,18.7032671,0.45
Jolie Hair and Beauty Academy-Ludlow,44 Sewall Street,Ludlow,MA,245,18.3304445,0.566666667
Salter College-Chicopee,645 Shawinigan Drive,Chicopee,MA,134,19.0139526,0.566666667
Branford Hall Career Institute-Springfield Campus,112 Industry Avenue,Springfield,MA,1154,28.4587918,0.583333333
College of Our Lady of the Elms,291 Springfield St,Chicopee,MA,1469,24.6062916,0.516666667
DiGrigoli School of Cosmetology,1578 Riverdale St,West Springfield,MA,106,23.1771383,0.466666667
Western New England University,1215 Wilbraham Rd,Springfield,MA,2741,31.5656468,0.7
American International College,1000 State Street,Springfield,MA,1578,28.1481063,0.6
Springfield Technical Community College,1 Armory Sq,Springfield,MA,9478,27.4645982,0.583333333
Springfield College,263 Alden St,Springfield,MA,2339,28.6452031,0.65
Springfield College-School of Human Services,Springfield College - School of Human Services,Springfield,MA,1789,28.3966547,0.616666667
Mansfield Beauty Schools-Springfield,266 Bridge St,Springfield,MA,49,26.097582,0.533333333
Kay Harvey Academy of Hair Design,11 Central St,West Springfield,MA,82,26.2218562,0.533333333
Westfield State University,577 Western Ave,Westfield,MA,6162,31.2549613,0.716666667
Bay Path College,588 Longmeadow Street,Longmeadow,MA,1756,29.6393967,0.616666667
Lincoln Technical Institute-Suffield,1760 Mapleton Ave,Suffield,CT,0,32.9948001,0.683333333
Asnuntuck Community College,170 Elm St,Enfield,CT,2618,34.4239534,0.683333333
New England Tractor Trailer Training School of Connecticut,32 Field Rd,Somers,CT,482,41.9425425,0.883333333
Central Mass School of Massage and Therapy Inc,200 Main St,Spencer,MA,33,36.9715745,0.983333333
Mount Wachusett Community College,444 Green St,Gardner,MA,6421,40.6998005,0.9
Anna Maria College,50 Sunset Lane,Paxton,MA,1206,44.6144378,1.183333333
Marlboro College-Graduate School,28 Vernon Stree," Suite #120""",Brattleboro,25,38.1521794,0.716666667
Lincoln Technical Institute-East Windsor,97 Newberry Road,East Windsor,CT,1327,40.8862118,0.766666667
Marlboro College,2582 South Rd,Marlboro,VT,302,49.8960913,1.033333333
Southern Worcester County Regional Voc School District,57 Old Muggett Hill Rd,Charlton,MA,33,41.4454457,1.116666667
SIT Graduate Institute,1 Kipling Rd,Brattleboro,VT,0,42.4396393,0.8
Charles H McCann Technical School,70 Hodges Cross Rd,North Adams,MA,79,53.437906,1.216666667
Massachusetts College of Liberal Arts,375 Church St,North Adams,MA,1891,53.1272205,1.216666667
Worcester State University,486 Chandler St,Worcester,MA,6662,49.4611316,1.283333333
Monty Tech,1050 Westminster St,Fitchburg,MA,38,46.0435911,0.966666667
Franklin Pierce University,40 University Drive,Rindge,NH,1925,50.8902849,1.266666667
Branford Hall Career Institute-Windsor Campus,995 Day Hill Rd,Windsor,CT,763,46.1678653,0.85
Mildred Elley-Pittsfield Campus,505 East Street,Pittsfield,MA,385,48.466938,1.2
Assumption College,500 Salisbury St,Worcester,MA,2422,51.0145591,1.333333333
Clark University,950 Main St,Worcester,MA,2465,56.2340755,1.2
Toni & Guy Hairdressing Academy-Worcester,6 Park Avenue,Worcester,MA,94,58.5952853,1.233333333
Becker College,61 Sever St,Worcester,MA,2091,58.1603256,1.233333333
Worcester Polytechnic Institute,100 Institute Road,Worcester,MA,4013,58.0981885,1.216666667
Rob Roy Academy-Worcester,150 Pleasant St,Worcester,MA,268,56.8554465,1.183333333
Quinsigamond Community College,670 West Boylston Street,Worcester,MA,12172,60.6458096,1.283333333
Salter College-West Boylston,184 West Boylston Suite # 1,West Boylston,MA,1187,63.379842,1.3
College of the Holy Cross,One College Street,Worcester,MA,2941,54.8049222,1.133333333
Nichols College,Center Rd,Dudley,MA,1441,51.6359301,1.25
Alexander Academy,112 River Street,Fitchburg,MA,58,49.8339542,1.066666667
Keene State College,229 Main Street,Keene,NH,5397,43.1231474,1.05
Antioch University-New England,40 Avon St,Keene,NH,0,43.8066555,1.05
Bancroft School of Massage Therapy,333 Shrewsbury St,Worcester,MA,74,57.9117772,1.216666667
Henris School of Hair Design,276 Water St,Fitchburg,MA,69,52.1330269,1.066666667
Keene Beauty Academy,800 Park Ave,Keene,NH,80,45.0493975,1.1
University of Massachusetts Medical School Worcester,55 Lake Ave North,Worcester,MA,0,59.2787934,1.266666667
Fitchburg State University,160 Pearl St,Fitchburg,MA,4834,51.7602043,1.1
Berkshire Community College,1350 West Street,Pittsfield,MA,3147,52.6922608,1.35
Landmark College,River Rd South,Putney,VT,651,48.5912122,0.883333333
Williams College,880 Main St,Williamstown,MA,2208,58.4710111,1.4
Howell Cheney Technical High School,791 W. Middle Turnpike,Manchester,CT,66,57.6010917,1.033333333
